,diff,lag_1,lag_2,lag_3,lag_4,lag_5,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,feargreed
0,-115.39999999999964,28.100000000000364,-85.60000000000036,198.10000000000036,-102.30000000000109,70.5,0,0,0,0,1,54
1,-445.2999999999993,-115.39999999999964,28.100000000000364,-85.60000000000036,198.10000000000036,-102.30000000000109,0,0,1,0,0,42
2,26.299999999999272,-445.2999999999993,-115.39999999999964,28.100000000000364,-85.60000000000036,198.10000000000036,0,0,1,0,0,38
3,232.29999999999927,26.299999999999272,-445.2999999999993,-115.39999999999964,28.100000000000364,-85.60000000000036,0,0,1,0,0,39
4,-299.89999999999964,232.29999999999927,26.299999999999272,-445.2999999999993,-115.39999999999964,28.100000000000364,0,0,1,0,0,40
5,75.70000000000073,-299.89999999999964,232.29999999999927,26.299999999999272,-445.2999999999993,-115.39999999999964,0,0,1,0,0,39
6,-29.5,75.70000000000073,-299.89999999999964,232.29999999999927,26.299999999999272,-445.2999999999993,0,0,1,0,0,38
7,-121.89999999999964,-29.5,75.70000000000073,-299.89999999999964,232.29999999999927,26.299999999999272,0,0,1,0,0,41
8,-184.90000000000146,-121.89999999999964,-29.5,75.70000000000073,-299.89999999999964,232.29999999999927,0,0,1,0,0,38
9,21.0,-184.90000000000146,-121.89999999999964,-29.5,75.70000000000073,-299.89999999999964,0,0,1,0,0,41
10,12.5,21.0,-184.90000000000146,-121.89999999999964,-29.5,75.70000000000073,0,0,1,0,0,38
11,-301.39999999999964,12.5,21.0,-184.90000000000146,-121.89999999999964,-29.5,0,0,1,0,0,38
12,-62.69999999999982,-301.39999999999964,12.5,21.0,-184.90000000000146,-121.89999999999964,0,0,1,0,0,32
13,-46.399999999999636,-62.69999999999982,-301.39999999999964,12.5,21.0,-184.90000000000146,0,0,1,0,0,32
14,-471.40000000000055,-46.399999999999636,-62.69999999999982,-301.39999999999964,12.5,21.0,0,0,1,0,0,30
15,-355.39999999999964,-471.40000000000055,-46.399999999999636,-62.69999999999982,-301.39999999999964,12.5,1,0,0,0,0,20
16,51.600000000000364,-355.39999999999964,-471.40000000000055,-46.399999999999636,-62.69999999999982,-301.39999999999964,1,0,0,0,0,23
17,-399.40000000000055,51.600000000000364,-355.39999999999964,-471.40000000000055,-46.399999999999636,-62.69999999999982,1,0,0,0,0,21
18,190.90000000000055,-399.40000000000055,51.600000000000364,-355.39999999999964,-471.40000000000055,-46.399999999999636,1,0,0,0,0,17
19,47.19999999999982,190.90000000000055,-399.40000000000055,51.600000000000364,-355.39999999999964,-471.40000000000055,1,0,0,0,0,21
20,347.8000000000002,47.19999999999982,190.90000000000055,-399.40000000000055,51.600000000000364,-355.39999999999964,1,0,0,0,0,20
21,-83.90000000000055,347.8000000000002,47.19999999999982,190.90000000000055,-399.40000000000055,51.600000000000364,0,0,1,0,0,32
22,316.0,-83.90000000000055,347.8000000000002,47.19999999999982,190.90000000000055,-399.40000000000055,0,0,1,0,0,31
23,-196.09999999999945,316.0,-83.90000000000055,347.8000000000002,47.19999999999982,190.90000000000055,0,0,1,0,0,38
24,-150.20000000000073,-196.09999999999945,316.0,-83.90000000000055,347.8000000000002,47.19999999999982,1,0,0,0,0,25
25,-98.19999999999982,-150.20000000000073,-196.09999999999945,316.0,-83.90000000000055,347.8000000000002,0,0,1,0,0,28
26,-6.399999999999636,-98.19999999999982,-150.20000000000073,-196.09999999999945,316.0,-83.90000000000055,0,0,1,0,0,28
27,-87.40000000000055,-6.399999999999636,-98.19999999999982,-150.20000000000073,-196.09999999999945,316.0,1,0,0,0,0,24
28,194.80000000000018,-87.40000000000055,-6.399999999999636,-98.19999999999982,-150.20000000000073,-196.09999999999945,1,0,0,0,0,21
29,131.60000000000036,194.80000000000018,-87.40000000000055,-6.399999999999636,-98.19999999999982,-150.20000000000073,0,0,1,0,0,29
